No,PORTNAME
304,PULAO BUKOM
305,TSINGELI
306,ASSAB
307,LIBREVILLE
308,BANJUL
309,TEMA
310,CONAKRY
311,MOMBASA
312,BUCHANAN
313,MONROVIA
314,MARSA EL BREGA
315,TRIPOLI
316,NOUADHIBOU
317,PORT LOUIS
318,CASABLANCA
319,TAKORADI
320,KAMSAR
321,LAMU
322,BENGHAZI
323,MISURATA
324,RAS LANUF
325,TOBRUK
326,ZUEITINA
327,ANTSIRANANA
328,NOUAKCHOTT
329,PORT LUIS
330,ALGIERS
331,ARZEW
332,LUANDA
333,LOBITO
334,COTONOU
335,DOUALA
336,ST.VINCENT
337,DZAOUDZI
338,POINTE NOIRE
339,ALEXANDRIA
340,PORT SAID
341,SUEZ CANAL
342,TANGER
343,MAPUTO
344,LUDERITZ
345,LAGOS
346,POINTE DES GALETS
347,JAMESTOWN
348,SANTO ANTONIO
349,SAO TOME
350,DAKAR
351,VICTORIA
352,FREETOWN
353,MOGADISCIO
354,PORT SUDAN
355,DAR ES SALAAM
356,ZANZIBAR
357,KPEME
358,LOME
359,TUNIS
360,BOMA
361,MATADI
362,MONTREAL
363,QUEBEC
364,TORONTO
365,VANCOUVER
366,BOSTON
367,CLEVELAND
368,DETROIT
369,WALVIS BAY
370,BALTIMORE
371,CORPUS CHRISTI
372,FREEPORT
373,GALVESTON
374,HOUSTON
375,JACKSONVILLE
376,KEY WEST
377,KODIAK
378,LONG BEACH
379,LOS ANGELES
380,PORT HARCOURT
381,POINT DES GALETS
382,KAOLACK
383,PORT VICTORIA
384,PEPEL
385,KISMAYU
386,CAPE TOWN
387,DURBAN
388,EAST LONDON
389,PORT ELIZABETH
390,RICHARDS BAY
391,SALDANHA BAY
392,SUAKIN
393,BIZERTA
394,GABES
395,SFAX
396,SOUSSE
397,LA GOULETTE
398,RADES
399,BANANA
400,ARGENTIA
401,BECANCOUR
402,GRAND BANK
403,HALIFAX
404,LIVERPOOL
405,LONG POND
406,NEW WESTMINSTER
407,PORT CARTIER
408,PRINCE RUPERT
409,SAINT JOHN N.B.
410,ST. JOHN'S
411,SEVEN ISLANDS
412,SYDNEY
413,TWILLINGATE
414,YARMOUTH
415,NORTH SYDNEY
416,ALBANY
417,ANACORTES
418,BEAUMONT
419,BELLINGHAM
420,BOCA GRANDE
421,BROWNSVILLE
422,BRUNSWICK
423,PHILADELPHIA
424,HAMILTON
425,KINGSTON
426,CHICAGO
427,DULUTH
428,EVERETT
429,GULFPORT
430,HAMPTON ROADS
431,LAKE CHARLES
432,MIAMI
433,MILWAUKEE
434,MOBILE
435,MOREHEAD CITY
436,NEW BEDFORD
437,NEW ORLEANS
438,BATON ROUGE
439,NEW YORK
440,OAKLAND
441,ORANGE
442,PALM BEACH
443,PASCAGOULA
444,PENSACOLA
445,PLYMOUTH
446,ZAMBOANGA
447,PORT EVERGLADES
448,PORTLAND
449,PROVIDENCE
450,SACRAMENTO
451,SAN DIEGO
452,SAN FRANCISCO
453,SAVANNAH
454,SEATTLE
455,TAMPA
456,VALDEZ
457,ST. PIERRE
458,ST.JOHN'S
459,ANCONA
460,ARBATAX
461,AUGUSTA
462,BARI
463,BRINDISI
464,CAGLIARI
465,CATANIA
466,CIVITAVECCHIA
467,CROTONE
468,FIUMICINO
469,FOLLONICA
470,FORMIA
471,GAETA
472,GALLIPOLI
473,GELA
474,GENOVA
475,IMPERIA
476,LA MADDALENA
477,LA SPEZIA
478,LAMPEDUSA
479,LIVORNO
480,LICATA
481,LIPARI
482,MANFREDONIA
483,MARINA DI CARRARA
484,MARSALA
485,MAZARA DEL VALLO
486,NASSAU
487,BRIDGETOWN
488,BELIZE CITY
489,MESSINA
490,MILAZZO
491,MOLFETTA
492,MONFALCONE
493,MONOPOLI
494,NAPOLI
495,OLBIA
496,ORISTANO
497,ORTONA
498,OTRANTO
499,PALERMO
500,PESARO
501,PESCARA
502,PIOMBINO
503,PORTO EMPEDOCLE
504,PORTO TORRES
505,PORTOFERRAIO
506,RAVENNA
507,REGGIO CALABRIA
508,SALERNO
509,S.BENEDETTO DEL TRON
510,SAVONA
511,SIRACUSA
512,TARANTO
513,TRAPANI
514,TRIESTE
515,VENEZIA
516,ANTWERP
517,GHENT
518,LIEGE
519,OSTEND
520,ZEEBRUGGE
521,COPENHAGEN
522,EKINCIK
523,ESBJERG
524,GRENAA
525,KALUNDBORG
526,KOGE
527,MIDDELFART
528,NAKSKOV
529,ODENSE
530,RONNE
531,SKAGEN
532,ALGECIRAS
533,ALICANTE
534,ALMERIA
535,BARCELLONA
536,BILBAO
537,CARTAGENA
538,CEUTA
539,GIJON
540,HUELVA
541,MALAGA
542,PALMA DE MAIORCA
543,SEVILLE
544,PAKISTAN
545,VALENCIA
546,VIGO
547,BRISBANE
548,DAMPIER
549,FREMANTLE
550,GLADSTONE
551,MELBOURNE
552,MUARA PORT
553,GRAND TURK
554,CHRISTIANSTED (ST CROIX)
555,FREDERIKSTED /ST.CROIX)
556,ST.THOMAS (ST.THOMAS IS.)
557,TORTOLA
558,AHUS
559,GOTHENBURG
560,HELSINGBORG
561,KARLSHAMN
562,MALMO
563,NORRKOPING
564,TUAPSE
565,BAYONNE
566,GUAYAQUIL
567,PORT KEMBLA
568,PANAMA
569,TUTICORIN
570,KUWAIT
571,SIDI KERIR
572,KAOHSIUNG
573,ROTTERDAM
574,VENTSPILS
575,SUAPE
576,SINGAPORE
577,KASHIMA
578,BALBOA
579,PORT HEDLAND
580,BUSHIRE
581,WARRI
582,SWINOUJSCIE
583,SAO SEBASTIAO
584,NANTES
585,HONOLULU
586,PONTA DELGADA
587,ANZIO
588,HODEIDAH
589,CHIBA
590,CADIZ
591,AIN SUKHNA
592,DJENO
593,FORCADOS TERMINAL
594,MOSTAGANEM
595,STANLEY
596,KARACHI
597,IMMINGHAM
598,FELIXSTOWE
599,OITA
600,VADO LIGURE
601,ANNABA
602,BETHIOUA
603,BEJAIA
604,BENI SAF
605,CHERCHELL
606,DELLYS
607,GHAZAOUET
608,JIJEL
609,ORAN
610,SKIKDA
611,TENES
612,CABINDA
613,FUTILA TERMINAL
614,LOMBO TERMINAL
615,MALONGO TERMINAL
616,NAMIBE
617,PALANCA TERMINAL
618,SOYO-KWANDA
619,TAKULA TERMINAL
620,SEME TERMINAL
621,BONABERI
622,GAROUA
623,KOLE TERMINAL
624,KRIBI
625,LIMBE
626,TIKO
627,LIMBOH TERMINAL
628,MOUDI TERMINAL
629,PORTO PRAIA
630,SAL ISLAND
631,JAKARTA
632,PENANG
633,GALLE
634,BELEM
635,PERAMA (KALAMATA)
636,KALAMATA
637,BRIXHAM
638,DOHA
639,KOPERVIK
640,ISTANBUL
641,MARSA BASHAYER
642,ILHEUS
643,LATTAKIA
644,DUBAI
645,FUKUYAMA
646,KOBE
647,EILAT
648,BAR
649,FOS
650,NAVLAKHI
651,TALBOT
652,COLOMBO
653,PORT TALBOT
654,PORT GENTIL
655,PORT OF SPAIN
656,MARSAXLOKK
657,SANTOS
658,YAMBU
659,CRISTOBAL
660,PRAIA MOLE
661,NATAL
662,NEWCASTLE (AUS)
663,APRA
664,BONNY
665,VALPARAISO
666,LISBONA
667,BUNBURY
668,ABU DHABI
669,SAN JUAN
670,CHIOGGIA
671,CALVI
672,INCHON
673,FORTALEZA
674,MANILA
675,ADEN
676,LA SKHIRA
677,VALLETTA
678,BANGKOK
679,ODESSA
680,RECIFE
681,NEMRUT BAY
682,REUNION ISLAND
683,CIENFUEGOS
684,SETE
685,HONFLEUR
686,POLA
687,ITAJAI
688,GEORGETOWN
689,PUERTO CABELLO
690,DUNKIRK
691,SANTA LUCIA
692,TIANJIN
693,PARANAGUA
694,LAZARO CARDENAS
695,MONTEVIDEO
696,CASTRIES
697,PIREO
698,ROSARIO
699,DALIAN
700,SARROCH
701,LAWE-LAWE
702,SAGUNTO
703,VITORIA
704,SUEZ
705,BRUNSBUTTEL
706,YMUIDEN
707,VISAKHAPATNAM
708,KAHULUI
709,SANTA CRUZ DE TENERIFE
710,HALDIA
711,TORRE ANNUNZIATA
712,KAKINADA
713,MONGSTAD
714,PENNINGTON
715,SABINE
716,LONGVIEW
717,SANTANDER
718,GIBILTERRA
719,SHUAIBA
720,BANIAS
721,SEPETIBA
722,FORT DE FRANCE
723,AMBURGO
724,SALVADOR
725,IQUIQUE
726,LA GUAIRA
727,RIO DE JANEIRO
728,PUERTO MONT
729,CAYENNE
730,MARSIGLIA
731,BAHIA BLANCA
732,SUVA
733,HAMBURG
734,SAN FERNANDO
735,SERIA
736,HILO
737,LYTTELTON
738,MATANZAS
739,PANAMA CANAL
740,NOVOROSSIYSK
741,AQABA
742,TENERIFE
743,AMSTERDAM
744,SENDAI
745,STORNOWAY
746,PORT KLANG
747,DJIBOUTI
748,IZMIR
749,ULSAN
750,NEW MANGALORE
751,TUBARAO
752,YOKOHAMA
753,ST. EUSTATIUS
754,MARACAIBO
755,THYSSEDAL
756,BANDAR KHOMEINI
757,LAEM CHABANG
758,KUANTAN
759,FUJAIRAH
760,FLUSHING
761,NUEVA PALMIRA
762,LAAYOUNE
763,AGADIR
764,NORFOLK
765,TURKU
766,FORT LAUDERDALE
767,SAN BENEDETTO DEL TRONTO
768,TELUK SEMANG
769,KANDLA
770,PORT OKHA
771,IGOUMENITSA
772,COCOS ISLAND
773,CASTELLON DE LA PLANA
774,SAFI
775,LA SALINA
776,COMODORO RIVADAVIA
777,ST. PETERSBURG
778,PUERTO LA CRUZ
779,LOOP TERMINAL U.S.A.
780,LAS PALMAS
781,MIRI
782,BALIKPAPAN
783,HUASCO
784,GEELONG
785,NIKISKI
786,PERANAGUA
787,ITEA
788,SAN VICENTE
789,HONG KONG
790,LA CORUNA
791,KEELUNG
792,NAGOYA
793,KEMAMAN
794,PORTO GRANDE
795,TEXAS
796,LEIXOES
797,ORINOCO RIVER
798,MOHAMMEDIA
799,BARLETTA
