No,PORTNAME
1351,GRAN CANARIE
1352,ZHUHAI
1353,CESABIK BAY
1354,MEJILLONES
1355,RASAHUOHEIR
1356,TAMPA BAY
1357,CANADA
1358,MAR BALTICO
1359,CEDROS
1360,SAN PAOLO
1361,EL FERROL
1362,NAKANOSEKI
1363,GUAIBA
1364,SHEKOU
1365,AJMAN
1366,VLADIVOSTOK
1367,MAUBAN
1368,CAMERUN
1369,SAN FRANCISCO DO SUL
1370,KIMITSU
1371,FINISTERRE
1372,TERMINI IMERESE
1373,BERGEN
1374,BERDYANSK
1375,SEMARANG
1376,BOA VISTA
1377,MOTRIL
1378,GUAM
1379,ELMAN
1380,BIOKO ISLAND
1381,MOSSEL BAY
1382,DUBLINO
1383,GIULIANOVA
1384,WENZHOU
1385,HACHINOHE
1386,TANJUNG SIKONENG
1387,ANCHORAGE
1388,SIVIGLIA
1389,LASHAN
1390,TOMOGASHIMA
1391,MESAIED
1392,COQUIMBO
1393,RIZHAO
1394,MUTSURE
1395,ILA DEL CARMEN
1396,PAPUA NEW GUINEA
1397,MUUGA
1398,SRIRACHA
1399,PORT KAISER
1400,AARDALSTANGEN
1401,SOUTH SABINE
1402,ENSENADA
1403,LARNACA
1404,MANGALORE
1405,CILE
1406,SALAVERRY
1407,AARHUS
1408,AARHUS
1409,MAURITIUS IS.
1410,PASIR GUDANG
1411,RAS AL KHAFJI
1412,CURACAO
1413,POINT A PITRE
1414,LARVIK
1415,WILHELMSHAVEN
1416,REDCAR (UK)
1417,HIROSHIMA
1418,CARAIBI
1419,QUINDAO
1420,PORT MELAKA
1421,ISOLA DI CAPRAIA
1422,DUBROVNIK
1423,JAMNAGAR
1424,STOCCOLMA
1425,PORT SHUIGONG
1426,LOMBOK BENOA
1427,IQUITOS
1428,EMIRATI ARABI
1429,TERRACINA
1430,SZCZECIN
1431,KHAWR FAKKAN
1432,JOSE
1433,UNITED KINGDOM
1434,MAR ROSSO
1435,SUDAN
1436,SOREL
1437,MARTINICA
1438,PORT KERTEH
1439,MARINA DI VODICE
1440,CABOT
1441,PORT LOME
1442,PORT OF MACAPA
1443,CAMPAGNA OCEANOGRAFICA
1444,PUERTO QUETZAL
1445,BROOME
1446,SIRIA
1447,SAGGONASEI
1448,MAGELLA STRAIT
1449,KERTEH
1450,KAGOSHIMA
1451,US GULF
1452,VILLAGARCIA
1453,BEIHAI
1454,TROPEA
1455,CALDERA
1456,FREDERICIA
1457,BHAVNAGAR
1458,MEIZHU
1459,MARIUPOL
1460,VITINO
1461,LINOSA
1462,XIAMEN
1463,PORT MORESBY
1464,AGIOI THEODOROI
1465,NEW HAVEN
1466,BAHAMAS
1467,VASTO
1468,PORTO ROTONDO
1469,HO PING
1470,YORKTOWN
1471,NEW PLYMOUTH
1472,PORT AU PRINCE
1473,PONTA UBU
1474,ZHANJIANG
1475,TERAMO
1476,VERONA
1477,ALGERI
1478,DUALA
1479,GIZAN
1480,ISLE OF MAN
1481,PORTSAID
1482,WEST
1483,PAGO PAGO
1484,YUZHNY
1485,PORT MAILIAO
1486,CHI LUNG
1487,QUATAR
1488,ENSTED (DANIMARCA)
1489,BAYUQUAN
1490,MUARA PANTAI
1491,PORSGRUNN
1492,DAESAN
1493,MAP TA PHUT
1494,TOYOHASHI (JAPAN)
1495,KUNAK
1496,CAYO ARCAS CASTELLON
1497,PLUMPER
1498,SHIBUSHI
1499,SANOC
1500,ARROC
1501,RIVERCLIDE
1502,ACAPULCO
1503,TRANMERE
1504,ANTONINA (VIC. PARANAGUA)
1505,SANTIAGO DEL CHILE
1506,MOIN
1507,NAVE RICERCA
1508,JEBEL DHANNA
1509,PORT GEROM
1510,SAN CIPRIAN
1511,PUNTA DELGADAS
1512,CAPE OF GOOD HOPE
1513,LUGO
1514,MADERO
1515,TOLEDO
1516,HUIZHOU
1517,PORT LAGOS
1518,PORT HUENEME
1519,S. SEBASTIAN LA GOMERA(CANARIE)
1520,SAN SEBASTIAN
1521,JUAYMAH
1522,TOBAGO
1523,LUCINDA
1524,SANDWICH
1525,ST CROIX
1526,TANZANIA
1527,SURINAME
1528,KAARSTOE
1529,TIN CAN IS.
1530,NELSON
1531,B I KHOMEINI
1532,BUSHEHER
1533,MOERDIJK
1534,GUYANA FRANCESE
1535,CEYHAN
1536,KALBA
1537,OSP CROTONE
1538,OSP NAPOLI
1539,BERMUDA
1540,NON COMUNICATO
1541,OSP SANTA MARIA GORETTI
1542,CAMDEN
1543,SANTIAGO DE CUBA
1544,GIORDANIA
1545,IN ATTESA ORDINI
1546,RAS ISA (YEMEN)
1547,BANJARMASIN
1548,TAICHUNG
1549,COLUMBIA
1550,DARDANELLI
1551,NEWARK
1552,LA VALLETTA
1553,SANK PETERSBURG
1554,san pietroburgo
1555,SAN PIETROBURGO
1556,SANTO TOMAS
1557,SAN JOSE
1558,NICOBAR
1559,PUERTO PLATA
1560,MOKPO (S.KOREA)
1561,EL PALITO
1562,NUEVITAS
1563,CALETA PATILLOS
1564,ST EUSTATIUS
1565,S EUSTACHIO
1566,KOKO
1567,FOS SUR MER
1568,ITALIA
1569,BUONAVENTURA
1570,BORNHOLM
1571,CIPRO
1572,NAKAGUSUKU
1573,MIAMI
1574,PORT OF KERCH
1575,COSTE OVEST CANADA
1576,PRIOLO
1577,MORMUGAO
1578,PORT ESQUIVEL
1579,BREST
1580,ZHANGZHU
1581,U.S. GULF
1582,KATAKOLON
1583,SARISEKI
1584,LIBANO
1585,KANDA
1586,FOR ORDERS
1587,CHANGSHU
1588,POINTE A PITRE
1589,YEMEN
1590,NAKHODKA
1591,NAMIKATA
1592,JUAN DE FUCA
1593,LANGKAWI
1594,HARWICH
1595,ZAFIRO TERMINAL
1596,BATUMPAR
1597,BUKPYUNG
1598,DATO RICHIESTO
1599,FANGHCHENG
1600,RIGA
1601,SULLOM VOE
1602,BOCA CHICA
1603,NAVHA SHEVA
1604,ILJICHEVSK
1605,BLANG LANCANG
1606,BRAKE
1607,RANG DONG
1608,GEDSER
1609,CABRERA
1610,MAJISHAN
1611,PORT WALCOTT
1612,FERNDALE
1613,BANDAR MAHSHAHR
1614,TEXAS CITY
1615,BULGARIA
1616,POINT COMFORT
1617,RIMINI
1618,ITAQUI
1619,PYOUNGTAEK
1620,HOLLAND
1621,P KEME
1622,PUNTA QUILLA
1623,KAVKAZ
1624,AFRICA
1625,THEODOSIA
1626,SAKAIMINATO
1627,DAWAO
1628,YINGKOU
1629,NHAVA SHEVA
1630,BEIJAIA
1631,KALIMANTAN
1632,YANTIAN
1633,IMARI
1634,OMAESAKI
1635,MICONOS
1636,B BLANCA
1637,NIIHAMA
1638,ACCIAROLI
1639,CASTELSARDO
1640,GUADALUPE
1641,CELTA
1642,SENEGAL
1643,PORTO FERRAIO
1644,VUNG TAU
1645,DAS ISLAND
1646,RAS AL KHAIMAH
1647,CADICE
1648,SAN GIORGIO DI NOGARA
1649,CUBA
1650,MINA AL FAHAL
1651,PUERTO MIRANDA
1652,QUAIBOE
1653,KUALA TANJUNG
1654,ST ANTONY
1655,VITYAZ
1656,PADANG
1657,COSTE ALGERIA
1658,VARANUS
1659,MYRTLE GROVE
1660,ISOLA PANAREA
1661,RABIGH
1662,GIAPPONE
1663,SOUTHPORT NC.
1664,KAMAMAR
1665,MAILIAO
1666,PORTO DRUMMOND
1667,WEIPA
1668,PUERTO ACEVEDO
1669,MONGLA
1670,KERCH (UKRAINA)
1671,TUNISI
1672,PRIMOSK
1673,KUITO TERMINAL
1674,PORT DE BOUC
1675,OTRANTO (PER MEDEVAC)
1676,KWANGYANG
1677,MUSQUAT
1678,COMSAR
1679,PACHI
1680,WESTERNPORT
1681,BARBERS POINT
1682,TEIGNMOUTH
1683,JAKHAU
1684,BALONGON
1685,IYOMISHIMA
1686,MELAKA
1687,LAE
1688,TERNEUZEN
1689,THREE RIVERS
1690,PORT DRUMOND
1691,ANTALYA
1692,KAKOGAWA
1693,VIETNAM
1694,ASALUYEH
1695,DALRYMPLE BAY
1696,ZHOUSHAN
1697,GUINEA BISSAU
1698,MACKAY
1699,PORT MANATEE
1700,ROCCELLA IONICA
1701,HUENEME (CALIF)
1702,TOKUYAMA
1703,KIIRE
1704,MALE
1705,KOSICHANG
1706,SHARJAH
1707,BALEARI
1708,TAEAN
1709,SANDHEADS
1710,BANDAR SHAMAR
1711,TAIZHOU
1712,TAORANGA
1713,GRECIA
1714,BISSAU
1715,FINLANDIA
1716,MILNER BAY
1717,BRIDGEPORT
1718,MERAUX
1719,HARCOURT
1720,MUSAIEE
1721,PASADENA
1722,COSTARICA
1723,IN PESCA LAMPEDUSA
1724,JAVA
1725,IN RADA ANVERSA
1726,PLOMIN
1727,SAO VINCENT ISL
1728,RAS SHUKHEIR
1729,PORT LINCOLN
1730,LA PALLICE
1731,DANG RONG
1732,RUWAIS
1733,WALCOTT
1734,YOKKAICHI
1735,NEW LONDON
1736,GROOTE EYLANDT
1737,RIVER PLATE
1738,MISSISSIPPI RIVER
1739,POINT TUPPER
1740,MILAKI
1741,KHAWAR AZ ZUBAYR
1742,MACAPA
1743,CAM
1744,TOMAKOMAI
1745,SPRING BAY
1746,PORT KWANGYANG
1747,HIBIKINADA
1748,PORTO ORDAZ
1749,LUZON
1750,PORTO CORTES
1751,RIJEKA
1752,BATAN
1753,DONDRA
1754,HEUNEME
1755,RIO DE LA PLATA
1756,TOGO
1757,PORTOGALLO
1758,HAZIRA
1759,MERAK
1760,JIANGYIN
1761,PUERTO ARMUELLES
1762,JIESHI
1763,KITIMAT
1764,POINT A PIERRE
1765,ZIRKU
1766,BORNEO
1767,CIAMPINO
1768,BAOSHAN
1769,GIRASSOL
1770,NIGG BAY
1771,ARABIAN GULF
1772,TIMARU
1773,CANALE DI SICILIA
1774,BANDAR ASALUYEH
1775,AL SHAEEN
1776,SAMARINDA
1777,AVEIRO
1778,YABUCOA (PORTORICO)
1779,BATUMI
1780,NOT KNOWN
1781,ALANYA
1782,CAGDIANAO
1783,SANTORINI
1784,MERETTIMO
1785,MARETTIMO
1786,COEGA
1787,UKU SHIMA
1788,SODEGAURA
1789,BINTULU
1790,HUNTERSTON
1791,VISBY
1792,BASHAYER
1793,BASRAH
1794,TANJUNG PELEPAS
1795,SAN SALVADOR
1796,IN POSIZIONE
1797,KENAI
1798,MAMONAL
1799,GUIABA ISLAND
1800,CERVIA
1801,KIATO
1802,BLACK SEA PORTS
1803,ALIAGA
1804,OSPEDALE BAMBIN GESU' ROMA
1805,TANIYAMA
1806,HOUNDPOINT
1807,WHITEGATE
1808,CHESTER
1809,MEXICAN GULF
1810,TROMBETAS
1811,BONTANG
1812,LAGUAIRA
1813,ELBA
1814,KINGDAO
1815,AMBES
1816,MAPTHAPUT
1817,TAMATAVE
1818,LOUISIANA
1819,PUERTO MOIN
1820,RAS MUSTAFA
1821,KORK
1822,PAVIA
1823,ANYER
1824,BREAU
1825,LA REUNION
1826,NORCO- NEW ORLEANS
1827,GEBZE
1828,UNYE
1829,NAGASAKI
1830,BIJELA
1831,IN PESCA
1832,CHIUSA
1833,MOJI (JAPAN)
1834,BATAAN
1835,GIAMAICA
1836,RINGASKIDDY
1837,TONGA (ISOLE)
1838,KVINESDAL
1839,STROMBOLI
1840,EUSTATIUS
1841,VILLA DO CONDE
1842,DOS BOCAS
1843,KANDALAKSHA
1844,USHUAIA
1845,ST LUCIA
1846,PAULSBORO
1847,IWAKUNI
1848,FREEMANTLE
1849,MELILLA
1850,SAN THOMAS
1851,NHA TRANG PORT
1852,HAIPHONG
1853,QUI NHON
1854,TUTUNCIFILIK
1855,NEW CALEDONIA
1856,YANTAI
1857,KUMUL
1858,LOME'
1859,FALKLAND IS
1860,RAS LAFFAN
1861,CHANGZHOU
1862,SHE KOU
1863,PASARES
1864,MAURITANIA
1865,CHIWAN
1866,EREGLI
1867,DARLYMPLE BAY
1868,HAMINA
1869,TUZLA
1870,MINA SAQR
1871,KELANG
1872,PITTSBURGH
1873,MURMANSK
1874,NOADHIBOU
1875,SIPSA (GEORGIA)
1876,SUPSA (GEORGIA)
1877,HEADLAND
1878,SUNDA STRAIT
1879,CANNES
1880,ZEIKU ISLAND
1881,LIMON
1882,ZEPHIRO TERMINAL
1883,XIKOMBA
1884,LATTAKIA
1885,XIANGANAG
1886,ADANG BAY
1887,XINGANG
1888,NAOSHIMA
1889,BRESCIA
1890,BOTANY BAY
1891,TABONEO
1892,EVERGLADES
1893,KEMPSEY
1894,CESME
1895,FLOTTA
1896,UBE
1897,SUMATERA
1898,IN RADA SUBARAYA
1899,CONGO
1900,BANDAR BUSHEHR
1901,CANARIE
1902,TAFT
1903,SAFADI
1904,MALAYSIA
1905,BARCARENA
1906,NORVEGIA
1907,ROBERTS BANK
1908,ST HELENA
1909,BANGLADESH
1910,SAN MARTIN
1911,ST MARTIN
1912,DAVISVILLE RHODE ISLAND
1913,YEOSU
1914,GIAKARTA
1915,FLORIDA
1916,HOMER
1917,PACAGOULA
1918,INNOSHIMA
1919,SANTO EUSTACHIOS
1920,KALININGRAD
1921,CORSICA
1922,RAOPING
1923,OLEN
1924,PALMAROLA
1925,DUNKERQUE
1926,LANSHAN
1927,BARREIRO
1928,PORT DAMPIER
1929,CHINDAO
1930,FALL RIVER
1931,UK
1932,PREVEZA
1933,MAIORCA
1934,CAMPHA
1935,SHARM
1936,ASSEMINI
1937,NEW JERSEY
1938,AL BASRAH
1939,TERMINAL
1940,PALEMBANG
1941,WAGSHINTON
1942,ZONGULDAK
1943,CARRARA
1944,TANTAWAN
1945,MARYLAND
1946,KOME KRIBI
1947,GENERAL SANTOS
1948,ALOTAU
1949,PENG LAI
1950,SAN VITO LO CAPO
1951,BUONOS AIRES
1952,BOURGAS
1953,CAYO ARCAS (MEX)
1954,IN PESCA
1955,TENNESEE
1956,TUGARU
1957,CAMPOS BASINI
1958,LUMUT
1959,MARIEL
1960,EMDEN
1961,TANGUARA
1962,RAFNES
1963,NEGISHI
1964,GDYNIA
1965,FUZHOU
1966,SALINA CRUZ
1967,PIONT
1968,HADONG
1969,ABU KAMMASH
1970,MINORCA
1971,KATAR
1972,SEOUL
1973,ALGARVE
1974,KORFAKKAN
1975,MALE
1976,FOSSA
1977,IRAGO
1978,BRAZIL
1979,IN RADA TERRAGONA
1980,AMAMAPARE
1981,KOBAY
1982,LA LIBERTAD
1983,ISHINOMAKI
1984,BALI
1985,PAITA
1986,EQUADOR
1987,SVEZIA
1988,TALARA
1989,IDKU
1990,TAICAN
1991,MA TA PHUT
1992,SANTA CRUZ
1993,FAWLEY
1994,SUBIC BAY
1995,WALLAROO
1996,SAINT MALO
1997,BENNIGTON
1998,POYA-NEW CALEDONIA
1999,JING TANG
2000,SAO LUIS
2001,BURGAS
2002,ASHKELON
2003,ANTIFER
2004,JOSE VENTURA
2005,OLONGAPO
2006,ERACLION
2007,PORT LISAS
2008,KANMON KO PILOT
2009,HAMRIYAH
2010,MARSA EL HARIGA
2011,AYIOS THEODHORI
2012,MELLITAH
2013,MALDIVE
2014,DNEPROBUGSKY
2015,CAPO DEGATE
2016,GALE
2017,STURE
2018,TEES
2019,MALITA
2020,CAPE LOPEZ
2021,SUNDERLAND
2022,ARDALSTANGEN
2023,PUERTO LIMON
2024,ZANDRIS
2025,DE KASTRI
2026,TALCHUANA
2027,ERHA
2028,TG PELEPAS
2029,NARVIK
2030,IRAKLION
2031,CAPODISTRIA
2032,AL AHMADI
2033,CARONTE
2034,ADALUYEH
2035,VANINO
2036,STOCKTON
2037,QUETZAL
2038,CORYTON
2039,SALOMONE IS.
2040,ALFRED
2041,ONSAN
2042,AKKRA
2043,SHARK
2044,LUHUASHAN
2045,MADDALENA
2046,PUNTA EUROPA
2047,KIZOMBA
2048,SAKAIDE
2049,NUNU'ALOFA
2050,KYNOSOURA
2051,KOLE/CAMERUN
2052,TERRAGONA
2053,TANURAH
2054,GOLFO DEL MESSICO
2055,DARROW
2056,TEHERAN
2057,SANTA PANAGIA
2058,SALEEF
2059,DAKENHAM
2060,PONTA VIERA
2061,PUERTO HIERO
2062,BARRAQUILLA
2063,BUNGA RAYA TERMINAL
2064,MARSA BASHAYER
2065,ILYCHEVSK
2066,OSCRAVOS
2067,LIRQUEN
2068,NAKATA
2069,BASSORA
2070,EMRYUK
2071,PORT ORDAZ
2072,SALEM
2073,TAHITI
2074,KAGOSHIMA
2075,PORT GALLE
2076,KALAMA
2077,ONAHAMA
2078,GHANA
2079,KAMAISHI
2080,HALDEN
2081,SHATLA
2082,SHATLAND
2083,BALTIC RANGE
2084,ST MARIA
2085,MINICOY IS.
2086,COVE
2087,GOVE
2088,AVONMOUTH
2089,HAYPOINT
2090,NACALA
2091,ASSALUYEH
2092,NATONG
2093,VILLANUEVA
2094,PORTO CASTIGLIONCELLO
2095,FUNABASHI
2096,BEILUN
2097,PORTBURY
2098,MAIZURU
2099,TOKACHI
2100,MO I RANA
2101,COSTA D'AVORIO
2102,PLOCE
2103,IN PORTO SUDAN
2104,FREDRIKSTAD
2105,ALGERIA
2106,SKIKKA
2107,KOCHI
2108,SUKHNA
2109,LA ROCHELLE
2110,UMAGO
2111,RAGUSA
2112,DAHEJ
2113,PATRASSO
2114,DAGENHAM
2115,ABERDEEN
2116,OSP REGINA MARGHERITA -TORINO
2117,SANTAN
2118,BENIN
2119,BAKAR
2120,YANGPU
2121,SCIANGAI
2122,NIIGATA
2123,PORT SOHAR
2124,KIRRE
2125,MEGANISI
2126,POINTNOIR
2127,TAILANDIA
2128,GARGANO
2129,MARQUISES IS.
2130,RABAUL
2131,KURE
2132,YOHO
2133,VYSOTSK
2134,HOKKAIDO
2135,OXELOSUND
2136,APAPA
2137,ST. JAMES
2138,SEYCHELLES ISL
2139,GONAGES
2140,DONAGES
2141,PORBANDAR
2142,UKRAINA
2143,MARSAXLOKK
2144,LAS MINAS
2145,QATAR
2146,ASCENSION ISLAND
2147,KAVASAKI
2148,SHERBRO
2149,MIDIA
2150,FINNART
2151,SHUWAIBA
2152,WILMINGTON
2153,GREATER PLUTONIO TEMINAL
2154,PORT DICKSON
2155,KIEL
2156,ASNAES
2157,IN RADA LAGOS
2158,PUERTO JOSE TERMINAL
2159,NORWAY
2160,KALAMAKI
2161,MANAKARA
2162,WAKE ISLAND
2163,COSSAK
2164,SANDAKAN
2165,NAMIBIA
2166,HURD BANK
2167,PORT ELEUSIS
2168,NORDMANSK
2169,TRITON TERMINAL
2170,BAYU UNDAN
2171,QALHAT
2172,WADI FEIRAN
2173,SUNDA
2174,COLON
2175,PEMANCINGAN
2176,NORONHA
2177,QINHUANGDAO
2178,KRUI
2179,TUI TERMINAL
2180,CARAMINAL
2181,KUDAMATSU
2182,LAS LAFFAN
2183,MARCHESI IS.
2184,GALAPAGOS
2185,POLICE
2186,DALHOUSIE
2187,WILLEMSTAD
2188,CHUAN
2189,CORIDON
2190,CABO VERDE
2191,CHORNOMORSK
2192,GLOMFJORD
2193,KARSTO
2194,MARMUGOA
2195,RAS SADAT
2196,YOKOSUKA
2197,LE VERDON
2198,AL ZUBAIR
2199,KERRY SIAM SEAPORT
2200,MALABO'
2201,OCOA BAY
2202,SAN TIAGO
2203,PANCANAL
2204,CAO FEI DIAN
2205,CEBRUM
2206,SERPENTINA
2207,CROATIA
2208,POMALAA
2209,SANT'ANTONIO ESTE
2210,
2211,MAHAJANGA OPL
2212,SABINE FAIRWAY
2213,ERITREA - 45 MIGLIA
2214,NAVEGANTES
2215,JOHOR BARHU
2216,SPORE
2217,KINGSTON
2218,HAY POINT
2219,ZHANGZHOU
2220,UMM AL QAIWAIN
2221,KOTA KINABALU
2222,SABAH MALAYSIA
2223,MACHONG
2224,PINANG
2225,ANPING
2226,KOREA
2227,PANAMA
2228,SALAAM
2229,KENYA
2230,LANZAROTE
2231,S'PORE
2232,PORT CHAMPA
2233,PORT ARTHUR
2234,PORT ALFRED
2235,FANGCHENG
2236,TONGHAE
2237,QUINGDAO
2238,VESTOCHNIY
2239,FIRENZE
2240,CEZI
2241,PORT SULTAN
2242,AWAITING ORDER
2243,CHIPIONA
2244,MORONI
2245,CLAYMONT
2246,AGBAMI
2247,KUMAI
2248,SURATTHANI
2249,NISOS ZAKYNTOSH
2250,BASHRA
2251,ZONA COMUN
2252,ANCORA
2253,SAN LOUIS
2254,DAVANT
2255,LOMBOK
2256,LOMBOK
2257,LOTUS
2258,CHENGXI
2259,USAN TERMINAL
2260,ESPADARTE
2261,CONCEPCION DE URUGUAY
2262,PORT NECHES
2263,JIZAN
2264,EL DEKHEILA
2265,TESSALONIKI
2266,TANJUNG BARA
2267,HIGASHI OHGISHIMA
2268,SHELL HAVEN
2269,BAIE DE PRONY
2270,PORT TANGIER
2271,YATSUSHIRO
2272,CINTA MARINE TERMINAL
2273,MEXICO GULF
2274,HASTINGS
2275,MAZZARA DEL VALLO
2276,DUQM
2277,HAMBANTOTA
2278,HOUND POINT
2279,RASTANNURA
2280,ISOLA DI MARITTIMO
2281,SHANTOU
2282,YALOVA
2283,GOTEBURG
2284,PRIMORSK
2285,COMARTY
2286,CROMARTY
2287,CAOFEIDIAN
2288,SOUTH HAMPTON
2289,NICE
2290,ZHAPU
2291,KARUMBA
2292,VISHAKAPHATNAM
2293,HAI PHONG
2294,SOHOR
2295,VOSTCHNY
2296,GIBRALTAR
2297,CORFU
2298,WSSINO
2299,NAKOHDKA
2300,GEMLIK
2301,CIWAGAN
2302,GRAN CANARIA
2303,KOTOR
2304,TANJUNG LANGSAT
2305,HURGHADA
2306,DIEGO SUAREZ
2307,RIZAO
2308,DONALDSONVILLE
2309,TOTORALILLO
2310,YUNG-AN
2311,PYEONGTAEK
2312,PONTA DO UBU
2313,DALYRMPLE
2314,PUTTALAM
2315,BIN QASIM
2316,TANGERI
2317,RAMALLO
2318,BULLEN BAY
2319,LUBUK GAUNG
2320,DELAWARE BAY
2321,LA
2322,PONTA DE MADEIRA
2323,MESAIEED
2324,TANJIN
2325,DERINCE
2326,SUNGAI UDANG
2327,MARTAS
2328,REYDARFJODUR
2329,COTE ST. CATHERINE
2330,SHANGAI
2331,KHALIFA
2332,CALETA CORDOVA
2333,BARBER'S POINT
2334,EAST AFRICA
2335,MAURA BERAU
2336,REUNION
2337,RASTANURA
2338,TONGYEONG
2339,LINATE
2340,MALILI
2341,QUINZHOU
2342,GREECE
2343,HONIARA
2344,PARADIP
2345,GHOTEMBURG
2346,VOSTOCHNY
2347,PARDIP
2348,KOH SI CHANG
2349,MALABO
2350,AMBARLI
2351,YANGTZE RIVER
2352,XINRONG
2353,TOAMASINA
2354,TANAH KUNING
2355,VIZAQ
2356,BARQUITO
2357,KHORFAKKAN
2358,ZALIV ALIVA
2359,HALUL IS.
2360,MAPTAPHUT
2361,ST CHARLES
2362,DAHANU
2363,VERA CRUZ
2364,MADANG
2365,NAPIER
2366,OKKE
2367,RIO GRANDE DO SUL
2368,KASIM
2369,KURNELL
2370,ECUADOR
2371,CHERBOURG
2372,TAMAN
2373,DAFENG
2374,MOSJOEN
2375,COMEAU
2376,SANTA MARGHERITA LIGURE
2377,HOLYROOD
2378,FLORES SEE
2379,ALGESIRAS (GIBRALTAR)
2380,KOH SICHANG
2381,PAZFLOR
2382,HSINTA
2383,KHOR AL ZUBAIR
2384,CHIRIQUI GRANDE
2385,MUNDRA (INDIA)
2386,TANJUN PEMANCINGAN
2387,ZHANGJIANG
2388,SHERBRO RIVER
2389,HUANGHUA
2390,NEW ZEALAND
2391,UUSIKAUPUNKI
2392,NAKHODA
2393,GO DAU
2394,KOREA DEL SUD
2395,LERWICK
2396,AOSHAN
2397,CEDROS ISLAND
2398,MUARA SATUI
2399,CANALE MANICA
2400,CANALE DELLA MANICA
2401,KARLSHAMM
2402,DONGJIAKOU
2403,LAVERDA
2404,NOSY BE
2405,NEWCASTLE
2406,BINTUNI
2407,BARACOA
2408,SILLAMAE
2409,TARIFA ISLAND
2410,SAN NICHOLAS
2411,ANTONINA
2412,SOUTH ATLANTIC FISHING GROUND
2413,SOUTH ATLANTIC FISH.GROUND
2414,SOUTH ATLANTIC GROUND
2415,TANJIUNG
2416,TJELDBERGODDEN
2417,TANJUNG BIN
2418,HELSINKI
2419,PUERTO LA PLATA
2420,TROGIR
2421,VESME
2422,ADIBJAN
2423,ILLICHIVSK
2424,ES SALAAM
2425,CAI LAN
2426,TOYAMA
2427,INCHEON
2428,OGISHIMA
2429,SEOGWIPO
2430,HAIPONG
2431,RELIANCE TERMINAL
2432,ROCKY POINT
2433,SLUISKIL
2434,VOPNAFJORDUR
2435,LETTONIA
2436,PORT LOBITO
2437,CAMDEN
2438,PORT MORSBEY
2439,GWANGYANG
2440,LAVRION
2441,BELLEDUNE
2442,NECHOCEA
2443,MORRO JABLE
2444,PUERTO GUARANAO
2445,JEBEL ALI (UAE)
2446,DONGGUAN
2447,SALVADOR DE BAHIA
2448,DA CHAN BAY
2449,SIN
2450,DONGHAE
2451,KRISHNAPATNAM
2452,MASINLOC
2453,CROAZIA
2454,DAR ES SALAAM
2455,ASHBURTON
2456,MANTA
2457,BAHÃA BLANCA
2458,GRAYS HARBOUR
2459,SANTAREM
2460,CAI MEP
2461,ABIDJAN
2462,SUAL
2463,FANG CHENG
2464,MARCUS HOOK
2465,TELUK RUBIAH
2466,FAZENDINHA
2467,PANJIN
2468,TARAHAN
2469,PIRAEUS
2470,POZOS COLORADOS
2471,CAMBOGIA
2472,TANGIER
2473,HEDLAND
2474,PROGRESO
2475,MORESBY
2476,CALABAR
2477,NINGDE
2478,CROFTON
2479,TAICANG
2480,RAS AL KHAIR
2481,HUEVA
2482,SHANGHAY
2483,LATVIA
2484,BODO
2485,POSSESSION BAY
2486,CHILE
2487,TURKISH STRAIT
2488,LAKSHADWEEP
2489,POINTE A PIERRE
2490,PORT DISCKSON
2491,POINT FORTIN
2492,PORT HEADLAND
2493,PHU MY
2494,S. MARIA DI LEUCA
2495,SEBUKU
2496,ERDEMIR
2497,PORI
2498,JERSEY CITY
2499,WANDELAAR
2500,PYONGTAEK
2501,PORTO BELO
2502,NOLA
2503,PORTO GARIBALDI
2504,PORT VENDRES
2505,XINSHA
2506,HIGASHI-HARIMA
2507,SEARSPORT
2508,OKKYE
2509,DUNEDIN
2510,ASEB
2511,GORE BAY
2512,COSTANTIA
2513,ETAME TERMINAL
2514,SABINE PASS
2515,LEMVIG
2516,EMPEDOCLE
2517,MATSUSHIMA
2518,WAKAYAMA
2519,MALDIVES
2520,GULLUK
2521,GULLUK
2522,NEUVA PALMIRA
2523,DENMARK
2524,MINA AL AHMADI
2525,HAMBLE-LE-RICE
2526,JAIGARH
2527,BIG STONE
2528,LAIZHOU
2529,MIIKE
2530,CHAGUARAMAS
2531,MARSDEN POINT
2532,LA
2533,NYNASHAMN
2534,FIJI
2535,BALTIJSK
2536,JINGJIANG
2537,AZORES IS.
2538,DJEN DJEN
2539,NON SPECIFICATO
2540,TUTUNCIFTLIK
2541,SLAVYNKA
2542,DUNKIRK_
2543,DUNKIRK
2544,MURMANKS
2545,MAGELLAN STRAIT
2546,PORT SALVADOR
2547,KOLKATA
2548,BURNS HARBOUR
2549,DORDRECHT
2550,LA PALOMA
2551,VERDAL
2552,BARRIOS
2553,MARZAMENI
2554,ANAPA
2555,OWENDO
2556,NIPA
2557,KENDAWANGAN
2558,MADE ISLAND
2559,LUSSINPICCOLO
2560,PORT FOURCHON
2561,PORTUGAL
2562,BARRANQUILLA
2563,ZHOUSHAN
2564,DONGYING
2565,PENGERANG
2566,MAGDALLA
2567,TALCAHUANO
2568,SOUTH SHETLAND IS.
2569,DILISKELESI
2570,CHESAPEAKE BAY
2571,GODAU
2572,GAOQIAO
2573,SCAPA FLOW
2574,NEW DELHI
2575,LONGKOU
2576,TENET
2577,YENIKOY
2578,MOLLENDO
